protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_baseline,Morgan,6,4,353,104,78,19,0,15.48650596010208,23.2741685374006,-0.2627484084872047,0.2879003521272135
room_baseline,Physical,6,4,353,104,78,19,0,9.625787739904844,17.748763480152675,0.26564732006379244,0.8284759765692045
room_baseline,Morgan+Physical,6,4,353,104,78,19,0,11.277058686811008,19.724605371788368,0.0930462805520541,0.7404054947622619
room_baseline,Morgan,7,0,343,114,77,20,0,5.619109242302075,8.464374171458367,0.5847239869889165,0.9099401094819854
room_baseline,Physical,7,0,343,114,77,20,0,4.6436903450413745,7.683688574886021,0.6577947655646348,0.9269442320664649
room_baseline,Morgan+Physical,7,0,343,114,77,20,0,3.418817673612896,6.076806377384515,0.7859585238850064,0.9350437171685037
room_baseline,Morgan,7,1,380,77,77,20,0,18.662115705613967,24.250664021400894,-0.3619639650613853,0.5207328803931845
room_baseline,Physical,7,1,380,77,77,20,0,4.5572484268584805,8.392875195515195,0.8368677306476782,0.9504519194651178
room_baseline,Morgan+Physical,7,1,380,77,77,20,0,11.430764838082451,15.234352423773469,0.462515005855742,0.6984848567704732
room_baseline,Morgan,7,2,377,80,78,19,0,8.500720731601714,10.204867163487597,0.1664298053639257,0.7306705192333308
room_baseline,Physical,7,2,377,80,78,19,0,9.966273387596607,17.301159359502662,-1.3959507049769626,0.7093514149205459
room_baseline,Morgan+Physical,7,2,377,80,78,19,0,8.790723446235656,12.39067518569513,-0.228902450992845,0.7065875286360318
room_baseline,Morgan,7,3,379,78,78,19,0,7.380298582376334,19.28050336423922,0.12029909270614592,0.36258667435947456
room_baseline,Physical,7,3,379,78,78,19,0,8.571237016468537,18.079183226553344,0.22650783972006017,0.4829866889643582
room_baseline,Morgan+Physical,7,3,379,78,78,19,0,7.6808675830899755,18.20822836501134,0.21542640627275345,0.4578195664742614
room_baseline,Morgan,7,4,349,108,78,19,0,13.510199314258715,20.434073694614103,-0.4081088632485337,0.7830831304933195
room_baseline,Physical,7,4,349,108,78,19,0,13.719010704817595,20.902581121650506,-0.47341862955232283,0.864094403644815
room_baseline,Morgan+Physical,7,4,349,108,78,19,0,8.469483029330219,14.03528490900231,0.33569306304944324,0.8652615622642431
room_baseline,Morgan,8,0,321,136,77,20,0,8.401872533820656,16.22021713993842,0.241940556590863,0.663524753428235
room_baseline,Physical,8,0,321,136,77,20,0,7.1286246810296,14.86852296403729,0.36302030209643177,0.7956485233907937
room_baseline,Morgan+Physical,8,0,321,136,77,20,0,4.52445478927388,14.11285493972012,0.426121849631656,0.814779456708211
room_baseline,Morgan,8,1,375,82,77,20,0,10.659687834070718,12.767035486422492,0.304071524234966,0.5221556873692655
room_baseline,Physical,8,1,375,82,77,20,0,6.927960593112852,8.754253807181236,0.6727928813187256,0.8586899025890479
room_baseline,Morgan+Physical,8,1,375,82,77,20,0,5.837141502246392,8.702765643386709,0.6766305013816338,0.8870548052641064
room_baseline,Morgan,8,2,377,80,78,19,0,4.967265239295959,5.7639260575267945,0.667375773836971,0.8376032487957459
room_baseline,Physical,8,2,377,80,78,19,0,3.5654472019052506,4.789216811593219,0.7703607751669884,0.8975162845859209
