queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
103,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,Diethyl malonate,CCOC(=O)CC(=O)OCC,8.03,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
104,JRGGUPZKKTVKOV-UHFFFAOYSA-N,1-Bromo-3-chlorobenzene,Clc1cccc(Br)c1,4.58,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
105,JSRLURSZEMLAFO-UHFFFAOYSA-N,m-Dibromobenzene,Brc1cccc(Br)c1,4.80,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
106,JUJWROOIHBZHMG-UHFFFAOYSA-N,Pyridine,c1ccncc1,12.3,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
107,KFUSEUYYWQURPO-OWOJBTEDSA-N,"trans-1,2-Dichloroethylene",Cl/C=C/Cl,2.14,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
108,KFUSEUYYWQURPO-UPHRSURJSA-N,"cis-1,2-Dichloroethylene",Cl/C=C\Cl,9.20,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
109,KJDRSWPQXHESDQ-UHFFFAOYSA-N,"1,4-dichlorobutane",ClCCCCCl,9.65,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
110,KNKRKFALVUDBJE-UHFFFAOYSA-N,"1,2-dichloropropane",CC(Cl)CCl,9.0,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
111,KXKVLQRXCPHEJC-UHFFFAOYSA-N,Methyl acetate,COC(C)=O,6.68,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
112,LCZUOKDVTBMCMX-UHFFFAOYSA-N,"2,5-Dimethylpyrazine",Cc1cnc(C)cn1,2.436,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
113,LFSAPCRASZRSKS-UHFFFAOYSA-N,2-Methylcyclohexanone,CC1CCCCC1=O,14.0,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
114,LJSQFQKUNVCTIA-UHFFFAOYSA-N,Ethyl sulfide,CCSCC,5.72,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
115,MCTWTZJPVLRJOU-UHFFFAOYSA-N,1-methylimidazole,Cn1ccnc1,39.78,298,1,1,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
116,MHNNAWXXUZQSNM-UHFFFAOYSA-N,2-Methyl-1-butene,C=C(C)CC,2.197,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
117,MVPPADPHJFYWMZ-UHFFFAOYSA-N,Chlorobenzene,Clc1ccccc1,5.621,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
118,NEZRFXZYPAIZAD-UHFFFAOYSA-N,Ethylcyclobutane,CCC1CCC1,1.965,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
119,NPDACUSDTOMAMK-UHFFFAOYSA-N,p-Chlorotoluene,Cc1ccc(Cl)cc1,6.08,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
120,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,Valeric acid,CCCCC(=O)O,2.66,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
121,NTIZESTWPVYFNL-UHFFFAOYSA-N,4-Methyl-2-pentanone,CC(=O)CC(C)C,13.11,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
122,NVJBFARDFTXOTO-UHFFFAOYSA-N,Ethyl sulfite,CCOS(=O)OCC,15.9,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
123,OFBQJSOFQDEBGM-UHFFFAOYSA-N,n-Pentane,CCCCC,1.844,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
124,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,m-Chlorotoluene,Cc1cccc(Cl)c1,5.55,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
125,PMJHHCWVYXUKFD-SNAWJCMRSA-N,"1,3-Pentadiene",C=C/C=C/C,2.32,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
126,QARVLSVVCXYDNA-UHFFFAOYSA-N,Bromobenzene,Brc1ccccc1,5.40,298.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
127,QBELEDRHMPMKHP-UHFFFAOYSA-N,1-Bromo-2-chlorobenzene,Clc1ccccc1Br,6.80,293.15,0,0,other,false,,true,no,P3,public_local_metadata_only_not_yet_probed
