Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
245,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,320,0.003125,0.12362685,True
246,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,325,0.003076923076923,0.061631747,True
247,TEP (C6H15O4P),CCOP(=O)(OCC)OCC,330,0.003030303030303,0.012788305,True
248,EMC (C4H8O3),CCOC(=O)OC,270,0.0037037037037037,0.017654277,False
249,EMC (C4H8O3),CCOC(=O)OC,275,0.0036363636363636,-0.026312983,False
250,EMC (C4H8O3),CCOC(=O)OC,280,0.0035714285714285,-0.047063977,False
251,EMC (C4H8O3),CCOC(=O)OC,285,0.0035087719298245,-0.067438886,False
252,EMC (C4H8O3),CCOC(=O)OC,290,0.0034482758620689,-0.08871555,False
253,EMC (C4H8O3),CCOC(=O)OC,295,0.0033898305084745,-0.11171451,False
254,EMC (C4H8O3),CCOC(=O)OC,300,0.0033333333333333,-0.15305409,False
255,EMC (C4H8O3),CCOC(=O)OC,305,0.0032786885245901,-0.20442286,False
256,EMC (C4H8O3),CCOC(=O)OC,310,0.0032258064516129,-0.23988155,False
257,EMC (C4H8O3),CCOC(=O)OC,315,0.0031746031746031,-0.27134797,False
258,EMC (C4H8O3),CCOC(=O)OC,320,0.003125,-0.29572463,False
259,EMC (C4H8O3),CCOC(=O)OC,325,0.003076923076923,-0.31448177,False
260,EMC (C4H8O3),CCOC(=O)OC,330,0.003030303030303,-0.32948264,False
261,VC (C3H2O3),O=c1occo1,270,0.0037037037037037,0.22683436,False
262,VC (C3H2O3),O=c1occo1,275,0.0036363636363636,0.19288623,False
263,VC (C3H2O3),O=c1occo1,280,0.0035714285714285,0.15653598,False
264,VC (C3H2O3),O=c1occo1,285,0.0035087719298245,0.11700325,False
265,VC (C3H2O3),O=c1occo1,290,0.0034482758620689,0.08153966,False
266,VC (C3H2O3),O=c1occo1,295,0.0033898305084745,0.03777846,False
267,VC (C3H2O3),O=c1occo1,300,0.0033333333333333,-0.01317733,False
268,VC (C3H2O3),O=c1occo1,305,0.0032786885245901,-0.073731124,False
269,VC (C3H2O3),O=c1occo1,310,0.0032258064516129,-0.13228579,False
270,VC (C3H2O3),O=c1occo1,315,0.0031746031746031,-0.17159322,False
271,VC (C3H2O3),O=c1occo1,320,0.003125,-0.19652715,False
272,VC (C3H2O3),O=c1occo1,325,0.003076923076923,-0.21238056,False
273,VC (C3H2O3),O=c1occo1,330,0.003030303030303,-0.22401424,False
274,GBL (C4H6O2),O=C1CCCO1,270,0.0037037037037037,0.22586627,True
275,GBL (C4H6O2),O=C1CCCO1,275,0.0036363636363636,0.24405259,True
276,GBL (C4H6O2),O=C1CCCO1,280,0.0035714285714285,0.27856687,True
277,GBL (C4H6O2),O=C1CCCO1,285,0.0035087719298245,0.291499,True
278,GBL (C4H6O2),O=C1CCCO1,290,0.0034482758620689,0.2747571,True
279,GBL (C4H6O2),O=C1CCCO1,295,0.0033898305084745,0.2587636,True
280,GBL (C4H6O2),O=C1CCCO1,300,0.0033333333333333,0.23490359,True
281,GBL (C4H6O2),O=C1CCCO1,305,0.0032786885245901,0.20320436,True
282,GBL (C4H6O2),O=C1CCCO1,310,0.0032258064516129,0.16703063,True
283,GBL (C4H6O2),O=C1CCCO1,315,0.0031746031746031,0.1329188,True
284,GBL (C4H6O2),O=C1CCCO1,320,0.003125,0.09919101,True
285,GBL (C4H6O2),O=C1CCCO1,325,0.003076923076923,0.06522075,True
286,GBL (C4H6O2),O=C1CCCO1,330,0.003030303030303,0.034453303,True
